date,score,desired_position,weekly_open,weekly_close,weekly_return,position,strategy_return,equity,benchmark_equity
2010-07-23,-24.3,0,0.04951,0.06262,0.26479499091092706,0.0,0.0,1.0,1.264794990910927
2010-07-30,-24.6,0,0.06262,0.0627,0.0012775471095498592,0.0,0.0,1.0,1.2664108260957385
2010-08-06,-23.1,0,0.0627,0.0623,-0.006379585326953818,0.0,-0.0,1.0,1.2583316501716826
2010-08-13,-31.0,0,0.0623,0.0645,0.035313001605136396,0.0,0.0,1.0,1.3027671177539892
2010-08-20,-7.3,0,0.0645,0.0655,0.015503875968992276,0.0,0.0,1.0,1.3229650575641287
2010-08-27,12.4,0,0.0655,0.065,-0.007633587786259555,0.0,-0.0,1.0,1.312866087659059
2010-09-03,17.37,0,0.065,0.06085,-0.06384615384615389,0.0,-0.0,1.0,1.2290446374469806
2010-09-10,16.23,0,0.06085,0.0618,0.015612161051766549,0.0,0.0,1.0,1.2482326802666128
2010-09-17,35.17,0,0.0618,0.0601,-0.027508090614886682,0.0,-0.0,1.0,1.213896182589376
2010-09-24,33.83,0,0.0601,0.0622,0.03494176372712143,0.0,0.0,1.0,1.2563118561906685
2010-10-01,50.67,0,0.0622,0.06197,-0.00369774919614152,0.0,-0.0,1.0,1.2516663300343365
2010-10-08,34.87,0,0.06197,0.08685,0.4014845893174117,0.0,0.0,1.0,1.754191072510604
2010-10-15,23.33,0,0.08685,0.105,0.20898100172711565,0.0,0.0,1.0,2.1207836800646334
2010-10-22,20.8,0,0.105,0.109,0.03809523809523818,0.0,0.0,1.0,2.201575439305191
2010-10-29,-26.67,0,0.109,0.19,0.7431192660550459,0.0,0.0,1.0,3.8376085639264796
2010-11-05,-26.67,0,0.19,0.2639,0.3889473684210527,0.0,0.0,1.0,5.330236315895779
2010-11-12,-2.93,0,0.2639,0.2682,0.016294050776809232,0.0,0.0,1.0,5.417087457079377
2010-11-19,-5.57,0,0.2682,0.28,0.043997017151379714,0.0,0.0,1.0,5.655423146839023
2010-11-26,-4.9,0,0.28,0.2844,0.01571428571428557,0.0,0.0,1.0,5.744294082003635
2010-12-03,-24.33,0,0.2844,0.251,-0.11744022503516172,0.0,-0.0,1.0,5.06968289234498
2010-12-10,8.5,0,0.251,0.204,-0.1872509960159363,0.0,-0.0,1.0,4.12037972126843
2010-12-17,2.5,0,0.204,0.24,0.17647058823529416,0.0,0.0,1.0,4.847505554433447
2010-12-24,1.18,0,0.24,0.248,0.03333333333333344,0.0,0.0,1.0,5.009089072914562
2010-12-31,-32.5,0,0.248,0.3,0.20967741935483875,0.0,0.0,1.0,6.059381943041809
2011-01-07,-35.83,0,0.3,0.32,0.06666666666666665,0.0,0.0,1.0,6.463340739244597
2011-01-14,-11.68,0,0.32,0.4,0.25,0.0,0.0,1.0,8.079175924055747
2011-01-21,-14.98,0,0.4,0.4199,0.04974999999999996,0.0,0.0,1.0,8.48111492627752
2011-01-28,-6.83,0,0.4199,0.446,0.06215765658490113,0.0,0.0,1.0,9.008281155322157
2011-02-04,-28.65,0,0.446,0.811,0.8183856502242153,0.0,0.0,1.0,16.380529186023026
2011-02-11,-32.5,0,0.811,1.07,0.3193588162762022,0.0,0.0,1.0,21.61179559684912
2011-02-18,-50.6,0,1.07,0.8989,-0.1599065420560748,0.0,-0.0,1.0,18.155928095334275
2011-02-25,-26.52,0,0.8989,0.9112,0.013683390810991236,0.0,0.0,1.0,18.40436275499899
2011-03-04,-38.28,0,0.9112,0.9012,-0.01097453906935908,0.0,-0.0,1.0,18.202383356897595
2011-03-11,-24.18,0,0.9012,0.88,-0.023524189968930354,0.0,-0.0,1.0,17.77418703292264
2011-03-18,5.65,0,0.88,0.8165,-0.0721590909090909,0.0,-0.0,1.0,16.49161785497879
2011-03-25,15.55,0,0.8165,0.8838,0.08242498469075321,0.0,0.0,1.0,17.850939204201172
2011-04-01,11.35,0,0.8838,0.7741,-0.1241231047748359,0.0,-0.0,1.0,15.635225207028885
2011-04-08,-1.82,0,0.7741,0.75,-0.03113292856220129,0.0,-0.0,1.0,15.148454857604525
2011-04-15,-45.0,0,0.75,0.9899,0.31986666666666674,0.0,0.0,1.0,19.99394061805696
2011-04-22,-20.0,0,0.9899,1.409,0.4233760985958177,0.0,0.0,1.0,28.45889719248637
2011-04-29,-7.5,0,1.409,2.88,1.0440028388928315,0.0,0.0,1.0,58.17006665320137
2011-05-06,-1.83,0,2.88,3.452,0.19861111111111107,0.0,0.0,1.0,69.72328822460108
2011-05-13,-7.5,0,3.452,8.198,1.3748551564310545,0.0,0.0,1.0,165.58271056352248
2011-05-20,-9.85,0,8.198,5.59,-0.31812637228592344,0.0,-0.0,1.0,112.90648353867903
2011-05-27,-7.5,0,5.59,8.5,0.5205724508050089,0.0,0.0,1.0,171.68248838618456
2011-06-03,-32.5,0,8.5,14.29,0.6811764705882353,0.0,0.0,1.0,288.6285598868914
2011-06-10,19.95,0,14.29,23.95,0.6759972008397481,0.0,0.0,1.0,483.74065845283764
2011-06-17,1.55,0,23.95,15.68,-0.3453027139874739,0.0,-0.0,1.0,316.7036962229851
2011-06-24,21.78,0,15.68,17.51,0.1167091836734695,0.0,0.0,1.0,353.6659260755402
2011-07-01,-28.18,0,17.51,15.4,-0.12050256996002295,0.0,-0.0,1.0,311.04827307614613
2011-07-08,-25.9,0,15.4,14.31,-0.07077922077922072,0.0,-0.0,1.0,289.0325186830942
2011-07-15,5.14,0,14.31,13.81,-0.034940600978336844,0.0,-0.0,1.0,278.93354877802454
2011-07-22,-4.62,0,13.81,13.7,-0.007965242577842258,0.0,-0.0,1.0,276.7117753989092
2011-07-29,5.8,0,13.7,13.5,-0.014598540145985384,0.0,-0.0,1.0,272.6721874368813
2011-08-05,13.52,0,13.5,9.8,-0.274074074074074,0.0,-0.0,1.0,197.9398101393657
2011-08-12,14.0,0,9.8,9.461,-0.034591836734693904,0.0,-0.0,1.0,191.09270854372846
2011-08-19,21.66,0,9.461,11.65,0.23137089102631858,0.0,0.0,1.0,235.30599878812353
2011-08-26,14.0,0,11.65,8.179,-0.2979399141630902,0.0,-0.0,1.0,165.1989497071298
2011-09-02,14.0,0,8.179,8.64,0.05636385866242821,0.0,0.0,1.0,174.51019995960405
2011-09-09,14.0,0,8.64,5.03,-0.41782407407407407,0.0,-0.0,1.0,101.59563724500097
2011-09-16,14.0,0,5.03,4.82,-0.041749502982107334,0.0,-0.0,1.0,97.3540698848717
2011-09-23,14.0,0,4.82,5.547,0.1508298755186721,0.0,0.0,1.0,112.03797212684302
2011-09-30,14.0,0,5.547,5.14,-0.07337299441139356,0.0,-0.0,1.0,103.81741062411629
2011-10-07,4.0,0,5.14,4.273,-0.16867704280155638,0.0,-0.0,1.0,86.30579680872547
2011-10-14,4.0,0,4.273,3.988,-0.06669787034870112,0.0,-0.0,1.0,80.54938396283576
2011-10-21,44.0,0,3.988,2.57,-0.3555667001003009,0.0,-0.0,1.0,51.90870531205815
2011-10-28,24.0,0,2.57,3.19,0.24124513618677046,0.0,0.0,1.0,64.43142799434456
2011-11-04,44.0,0,3.19,3.109,-0.025391849529780575,0.0,-0.0,1.0,62.79539486972327
2011-11-11,64.0,1,3.109,3.08,-0.009327758121582486,0.0,-0.0,1.0,62.209654615229226
2011-11-18,64.0,1,3.08,2.05,-0.3344155844155845,1.0,-0.3344155844155845,0.6655844155844155,41.40577661078568
2011-11-25,44.0,1,2.05,2.506,0.22243902439024388,1.0,0.22243902439024388,0.8136363636363635,50.616037164209224
2011-12-02,64.0,1,2.506,3.115,0.24301675977653647,1.0,0.24301675977653647,1.0113636363636362,62.9165825085841
2011-12-09,54.0,1,3.115,2.97,-0.0465489566613162,1.0,-0.0465489566613162,0.9642857142857142,59.98788123611389
2011-12-16,44.0,1,2.97,3.2,0.07744107744107742,1.0,0.07744107744107742,1.0389610389610389,64.63340739244595
2011-12-23,34.0,1,3.2,3.947,0.23343749999999996,1.0,0.23343749999999996,1.2814935064935062,79.72126843062004
2011-12-30,44.0,1,3.947,4.248,0.07626045097542433,1.0,0.07626045097542433,1.379220779220779,85.80084831347199
2012-01-06,44.0,1,4.248,6.697,0.5765065913370997,1.0,0.5765065913370997,2.174350649350649,135.26560290850327
2012-01-13,44.0,1,6.697,6.41,-0.04285500970583844,1.0,-0.04285500970583844,2.0811688311688306,129.46879418299326
2012-01-20,24.0,1,6.41,6.49,0.012480499219968744,1.0,0.012480499219968744,2.1071428571428563,131.0846293678044
2012-01-27,44.0,1,6.49,5.292,-0.18459167950693378,1.0,-0.18459167950693378,1.7181818181818174,106.88749747525746
2012-02-03,34.0,1,5.292,5.959,0.1260393046107331,1.0,0.1260393046107331,1.9347402597402588,120.3595233286204
2012-02-10,64.0,1,5.959,5.913,-0.007719416009397406,1.0,-0.007719416009397406,1.9198051948051942,119.430418097354
2012-02-17,24.0,1,5.913,4.41,-0.25418569254185697,1.0,-0.25418569254185697,1.4318181818181812,89.07291456271454
2012-02-24,64.0,1,4.41,5.029,0.1403628117913831,1.0,0.1403628117913831,1.632792207792207,101.5754393051908
2012-03-02,46.0,1,5.029,4.705,-0.06442632730165043,1.0,-0.06442632730165043,1.527597402597402,95.03130680670564
2012-03-09,14.0,1,4.705,4.861,0.033156216790648285,1.0,0.033156216790648285,1.5782467532467526,98.18218541708738
2012-03-16,24.0,1,4.861,5.344,0.09936227113762608,1.0,0.09936227113762608,1.7350649350649345,107.9377903453847
2012-03-23,24.0,1,5.344,4.686,-0.12312874251497008,1.0,-0.12312874251497008,1.521428571428571,94.647545950313
2012-03-30,24.0,1,4.686,4.86,0.03713188220230479,1.0,0.03713188220230479,1.5779220779220775,98.16198747727725
2012-04-06,14.0,1,4.86,4.95,0.01851851851851838,1.0,0.01851851851851838,1.6071428571428565,99.97980206018978
2012-04-13,24.0,1,4.95,4.94,-0.002020202020201922,1.0,-0.002020202020201922,1.6038961038961035,99.7778226620884
2012-04-20,24.0,1,4.94,5.35,0.082995951417004,1.0,0.082995951417004,1.7370129870129865,108.05897798424553
2012-04-27,24.0,1,5.35,5.109,-0.0450467289719626,1.0,-0.0450467289719626,1.6587662337662332,103.19127449000194
2012-05-04,24.0,1,5.109,5.067,-0.00822078684674099,1.0,-0.00822078684674099,1.6451298701298698,102.3429610179761
2012-05-11,24.0,1,5.067,4.96,-0.021117031774225414,1.0,-0.021117031774225414,1.61038961038961,100.18178145829118
2012-05-18,44.0,1,4.96,5.118,0.031854838709677535,1.0,0.031854838709677535,1.6616883116883114,103.37305594829321
2012-05-25,64.0,1,5.118,5.145,0.00527549824150042,1.0,0.00527549824150042,1.670454545454545,103.91840032316696
2012-06-01,44.0,1,5.145,5.275,0.025267249757045862,1.0,0.025267249757045862,1.7126623376623376,106.5441324984851
2012-06-08,44.0,1,5.275,5.633,0.06786729857819895,1.0,0.06786729857819895,1.8288961038961036,113.77499495051498
2012-06-15,44.0,1,5.633,6.5,0.15391443280667505,1.0,0.15391443280667505,2.11038961038961,131.2866087659058
2012-06-22,44.0,1,6.5,6.548,0.007384615384615323,1.0,0.007384615384615323,2.1259740259740254,132.2561098767925
2012-06-29,44.0,1,6.548,6.65,0.0155772755039707,1.0,0.0155772755039707,2.1590909090909087,134.3162997374267
2012-07-06,24.0,1,6.65,6.648,-0.0003007518796993569,1.0,-0.0003007518796993569,2.1584415584415577,134.2759038578064
2012-07-13,44.0,1,6.648,7.665,0.15297833935018046,1.0,0.15297833935018046,2.488636363636363,154.81720864471814
2012-07-20,44.0,1,7.665,8.52,0.11154598825831696,1.0,0.11154598825831696,2.766233766233765,172.08644718238727
2012-07-27,44.0,1,8.52,8.9,0.04460093896713624,1.0,0.04460093896713624,2.8896103896103886,179.76166431024023
2012-08-03,41.08,1,8.9,10.97,0.23258426966292145,1.0,0.23258426966292145,3.561688311688311,221.5713997172287
2012-08-10,20.2,1,10.97,11.39,0.03828623518687335,1.0,0.03828623518687335,3.6980519480519476,230.05453443748723
2012-08-17,19.8,1,11.39,11.58,0.01668129938542573,1.0,0.01668129938542573,3.759740259740259,233.8921430014137
2012-08-24,1.86,1,11.58,10.6,-0.08462867012089814,1.0,-0.08462867012089814,3.4415584415584406,214.0981619874771
2012-08-31,22.78,1,10.6,10.16,-0.04150943396226414,1.0,-0.04150943396226414,3.298701298701298,205.2110684710158
2012-09-07,-8.98,1,10.16,11.0,0.08267716535433078,1.0,0.08267716535433078,3.5714285714285707,222.17733791153287
2012-09-14,-0.52,1,11.0,11.74,0.06727272727272737,1.0,0.06727272727272737,3.8116883116883113,237.12381337103602
2012-09-21,18.16,1,11.74,12.37,0.05366269165247006,1.0,0.05366269165247006,4.016233766233765,249.8485154514238
2012-09-28,18.12,1,12.37,12.39,0.0016168148746968924,1.0,0.0016168148746968924,4.022727272727272,250.2524742476266
2012-10-05,17.46,1,12.39,12.7,0.02502017756255026,1.0,0.02502017756255026,4.123376623376622,256.5138355887697
2012-10-12,8.92,1,12.7,12.0,-0.055118110236220375,1.0,-0.055118110236220375,3.896103896103895,242.3752777216722
2012-10-19,39.48,1,12.0,11.74,-0.021666666666666612,1.0,-0.021666666666666612,3.811688311688311,237.123813371036
2012-10-26,32.72,1,11.74,10.19,-0.13202725724020448,1.0,-0.13202725724020448,3.3084415584415576,205.81700666531998
2012-11-02,22.12,1,10.19,10.47,0.027477919528950068,1.0,0.027477919528950068,3.399350649350649,211.47242981215902
2012-11-09,41.4,1,10.47,10.82,0.03342884431709647,1.0,0.03342884431709647,3.5129870129870127,218.5417087457078
2012-11-16,39.46,1,10.82,11.75,0.08595194085027713,1.0,0.08595194085027713,3.814935064935064,237.32579276913737
2012-11-23,18.2,1,11.75,12.35,0.051063829787234116,1.0,0.051063829787234116,4.009740259740259,249.444556655221
2012-11-30,49.74,1,12.35,12.57,0.01781376518218636,1.0,0.01781376518218636,4.0811688311688314,253.8881034134517
2012-12-07,35.8,1,12.57,13.5,0.07398568019093066,1.0,0.07398568019093066,4.383116883116883,272.67218743688125
2012-12-14,15.58,1,13.5,13.6,0.007407407407407307,1.0,0.007407407407407307,4.415584415584415,274.69198141789514
2012-12-21,15.8,1,13.6,13.5,-0.007352941176470562,1.0,-0.007352941176470562,4.383116883116882,272.6721874368812
2012-12-28,25.8,1,13.5,13.5,0.0,1.0,0.0,4.383116883116882,272.6721874368812
2013-01-04,-4.2,1,13.5,13.5,0.0,1.0,0.0,4.383116883116882,272.6721874368812
2013-01-11,-5.54,1,13.5,14.14,0.04740740740740734,1.0,0.04740740740740734,4.59090909090909,285.59886891537036
2013-01-18,11.2,1,14.14,15.7,0.11032531824611014,1.0,0.11032531824611014,5.097402597402596,317.1076550191877
2013-01-25,7.64,1,15.7,17.4,0.10828025477707004,1.0,0.10828025477707004,5.649350649350647,351.44415269642457
2013-02-01,1.18,1,17.4,20.5,0.17816091954023006,1.0,0.17816091954023006,6.655844155844155,414.0577661078566
2013-02-08,6.66,1,20.5,22.66,0.10536585365853668,1.0,0.10536585365853668,7.357142857142857,457.6853160977576
2013-02-15,-12.62,1,22.66,27.1,0.19593998234774945,1.0,0.19593998234774945,8.7987012987013,547.3641688547764
2013-02-22,-16.0,1,27.1,30.25,0.11623616236162349,1.0,0.11623616236162349,9.821428571428571,610.9876792567153
2013-03-01,4.0,1,30.25,34.5,0.14049586776859502,1.0,0.14049586776859502,11.2012987012987,696.8289234498075
2013-03-08,-5.98,1,34.5,44.18,0.28057971014492744,1.0,0.28057971014492744,14.344155844155843,892.3449808119562
2013-03-15,-6.0,1,44.18,46.95,0.0626980534178363,1.0,0.0626980534178363,15.243506493506494,948.2932740860424
2013-03-22,4.0,1,46.95,69.87,0.48817891373801925,1.0,0.48817891373801925,22.685064935064936,1411.2300545344362
2013-03-29,-16.0,1,69.87,90.5,0.29526263059968505,1.0,0.29526263059968505,29.383116883116884,1827.913552817611
2013-04-05,-4.0,1,90.5,142.32,0.5725966850828728,1.0,0.5725966850828728,46.2077922077922,2874.5707937790316
2013-04-12,-15.32,1,142.32,117.0,-0.17790893760539628,1.0,-0.17790893760539628,37.98701298701298,2363.1589577863033
2013-04-19,-15.7,1,117.0,118.5,0.012820512820512775,1.0,0.012820512820512775,38.47402597402597,2393.4558675015123
2013-04-26,-20.32,1,118.5,136.9,0.15527426160337554,1.0,0.15527426160337554,44.44805194805195,2765.0979600080764
2013-05-03,-10.58,1,136.9,98.1,-0.28341855368882407,1.0,-0.28341855368882407,31.850649350649345,1981.4178953746696
2013-05-10,-15.5,1,98.1,117.7,0.19979612640163102,1.0,0.19979612640163102,38.21428571428571,2377.2975156534008
2013-05-17,-36.96,1,117.7,123.5,0.049277824978759543,1.0,0.049277824978759543,40.09740259740259,2494.445566552209
2013-05-24,-39.36,1,123.5,133.1,0.07773279352226714,1.0,0.07773279352226714,43.21428571428571,2688.3457887295467
2013-05-31,-18.28,1,133.1,128.82,-0.032156273478587516,1.0,-0.032156273478587516,41.82467532467532,2601.8986063421503
2013-06-07,-33.82,1,128.82,111.0,-0.1383325570563576,1.0,-0.1383325570563576,36.03896103896104,2241.9713189254676
2013-06-14,-11.06,1,111.0,99.99,-0.09918918918918929,1.0,-0.09918918918918929,32.464285714285715,2019.5920016158332
2013-06-21,-13.44,1,99.99,109.5,0.0951095109510951,1.0,0.0951095109510951,35.55194805194805,2211.6744092102585
2013-06-28,-9.72,1,109.5,94.66,-0.13552511415525115,1.0,-0.13552511415525115,30.733766233766232,1911.9369824277906
2013-07-05,-6.0,1,94.66,68.5,-0.27635748996408194,1.0,-0.27635748996408194,22.24025974025974,1383.5588769945452
2013-07-12,-9.56,1,68.5,93.99,0.3721167883211678,1.0,0.3721167883211678,30.516233766233764,1898.404362754997
2013-07-19,-9.08,1,93.99,92.09,-0.020214916480476575,1.0,-0.020214916480476575,29.899350649350648,1860.0282771157324
2013-07-26,-0.06,1,92.09,96.02,0.04267564339233343,1.0,0.04267564339233343,31.17532467532467,1939.4061805695796
2013-08-02,-22.2,1,96.02,104.5,0.08831493438866911,1.0,0.08831493438866911,33.92857142857142,2110.6847101595613
2013-08-09,30.24,1,104.5,102.8,-0.016267942583732098,1.0,-0.016267942583732098,33.37662337662337,2076.3482124823245
2013-08-16,8.68,1,102.8,108.99,0.060214007782101175,1.0,0.060214007782101175,35.38636363636363,2201.373459907087
2013-08-23,-5.7,1,108.99,118.51,0.08734746307000663,1.0,0.08734746307000663,38.477272727272734,2393.657846899614
2013-08-30,9.4,1,118.51,138.03,0.1647118386634039,1.0,0.1647118386634039,44.81493506493507,2787.921631993534
2013-09-06,13.44,1,138.03,121.9,-0.1168586539158154,1.0,-0.1168586539158154,39.57792207792208,2462.1288628559864
2013-09-13,8.74,1,121.9,140.66,0.15389663658736663,1.0,0.15389663658736663,45.66883116883117,2841.0422136942
2013-09-20,30.46,1,140.66,133.81,-0.04869899047348214,1.0,-0.04869899047348214,43.4448051948052,2702.686325994746
2013-09-27,41.18,1,133.81,138.93,0.03826320902772595,1.0,0.03826320902772595,45.10714285714286,2806.0997778226597
2013-10-04,61.7,1,138.93,136.82,-0.015187504498668458,1.0,-0.015187504498668458,44.422077922077925,2763.4821248232656
2013-10-11,40.88,1,136.82,140.1,0.02397310334746372,1.0,0.02397310334746372,45.48701298701299,2829.7313674005222
2013-10-18,33.82,1,140.1,168.28,0.20114204139900083,1.0,0.20114204139900083,54.63636363636364,3398.909311250249
2013-10-25,14.4,1,168.28,197.88,0.17589731400047537,1.0,0.17589731400047537,64.24675324675324,3996.7683296303735
2013-11-01,0.5,1,197.88,213.43,0.07858297958358618,1.0,0.07858297958358618,69.29545454545455,4310.846293678041
2013-11-08,-6.0,1,213.43,355.0,0.6633088131940215,1.0,0.6633088131940215,115.25974025974027,7170.268632599468
2013-11-15,6.0,1,355.0,433.92,0.2223098591549295,1.0,0.2223098591549295,140.88311688311688,8764.290042415665
2013-11-22,-15.34,1,433.92,802.0,0.8482669616519174,1.0,0.8482669616519174,260.38961038961037,16198.747727731756
2013-11-29,-36.0,1,802.0,1206.93,0.5049002493765586,1.0,0.5049002493765586,391.8603896103896,24377.49949505148
2013-12-06,-39.36,1,1206.93,845.02,-0.2998599753092558,1.0,-0.2998599753092558,274.3571428571428,17067.663098363948
2013-12-13,-34.28,1,845.02,936.77,0.10857731177960295,1.0,0.10857731177960295,304.14610389610385,18920.824075944234
2013-12-20,-60.9,0,936.77,649.96,-0.3061690703160861,1.0,-0.3061690703160861,211.025974025974,13127.85295899817
2013-12-27,-49.1,0,649.96,803.05,0.23553757154286403,0.0,0.0,211.025974025974,16219.9555645324
2014-01-03,-33.46,0,803.05,884.26,0.10112695348982004,0.0,0.0,211.025974025974,17860.230256513816
2014-01-10,-47.42,0,884.26,957.76,0.08312034921855571,0.0,0.0,211.025974025974,19344.77883255906
2014-01-17,-2.0,0,957.76,894.16,-0.0664049448713665,0.0,-0.0,211.025974025974,18060.189860634197
2014-01-24,-3.2,0,894.16,916.55,0.025040261250782736,0.0,0.0,211.025974025974,18512.421732983214
2014-01-31,-16.4,0,916.55,938.85,0.02433036931973165,0.0,0.0,211.025974025974,18962.835790749323
2014-02-07,-3.34,0,938.85,695.65,-0.25904031527933113,0.0,-0.0,211.025974025974,14050.696828923434
2014-02-14,23.04,0,695.65,427.68,-0.3852080787752461,0.0,-0.0,211.025974025974,8638.254898000396
2014-02-21,26.0,0,427.68,111.56,-0.7391507669285446,0.0,-0.0,211.025974025974,2253.282165219146
2014-02-28,3.2,0,111.56,573.94,4.144675510935819,0.0,0.0,211.025974025974,11592.405574631379
2014-03-07,-9.1,0,573.94,616.73,0.07455483151548936,0.0,0.0,211.025974025974,12456.675419107241
2014-03-14,1.04,0,616.73,614.03,-0.0043779287532632605,0.0,-0.0,211.025974025974,12402.140981619865
2014-03-21,-25.5,0,614.03,549.6,-0.10492972656059141,0.0,-0.0,211.025974025974,11100.787719652588
2014-03-28,8.1,0,549.6,482.61,-0.12188864628820961,0.0,-0.0,211.025974025974,9747.727731771352
2014-04-04,10.14,0,482.61,444.36,-0.07925654254988501,0.0,-0.0,211.025974025974,8975.156534033522
2014-04-11,52.64,0,444.36,435.14,-0.0207489422990369,0.0,-0.0,211.025974025974,8788.931528984036
2014-04-18,39.94,0,435.14,485.52,0.1157788298019029,0.0,0.0,211.025974025974,9806.503736618857
2014-04-25,19.06,0,485.52,464.49,-0.043314384577360254,0.0,-0.0,211.025974025974,9381.741062411627
2014-05-02,51.64,0,464.49,453.67,-0.023294365863635424,0.0,-0.0,211.025974025974,9163.19935366592
2014-05-09,20.08,0,453.67,445.45,-0.018118896995613643,0.0,-0.0,211.025974025974,8997.172288426573
2014-05-16,26.37,0,445.45,453.63,0.01836345268829276,0.0,0.0,211.025974025974,9162.391436073513
2014-05-23,23.48,0,453.63,518.09,0.1420981857460928,0.0,0.0,211.025974025974,10464.350636235096
2014-05-30,9.27,0,518.09,612.35,0.181937501206354,0.0,0.0,211.025974025974,12368.20844273883
2014-06-06,-0.77,0,612.35,650.41,0.06215399689719914,0.0,0.0,211.025974025974,13136.942031912733
2014-06-13,9.37,0,650.41,610.35,-0.06159191894343563,0.0,-0.0,211.025974025974,12327.812563118552
2014-06-20,1.9,0,610.35,590.75,-0.03211272220856887,0.0,-0.0,211.025974025974,11931.932942839821
2014-06-27,-15.27,0,590.75,602.23,0.019432924248836247,0.0,0.0,211.025974025974,12163.80529186022
2014-07-04,-24.58,0,602.23,623.96,0.03608255981933817,0.0,0.0,211.025974025974,12602.706523934548
2014-07-11,35.02,0,623.96,632.9,0.01432784152830302,0.0,0.0,211.025974025974,12783.276105837193
2014-07-18,8.6,0,632.9,627.47,-0.008579554431979663,0.0,-0.0,211.025974025974,12673.601292668138
2014-07-25,9.8,0,627.47,600.5,-0.042982134604044875,0.0,-0.0,211.025974025974,12128.862855988678
2014-08-01,26.55,0,600.5,598.78,-0.0028642797668609887,0.0,-0.0,211.025974025974,12094.122399515238
2014-08-08,26.68,0,598.78,595.85,-0.004893283008784444,0.0,-0.0,211.025974025974,12034.94243587153
2014-08-15,14.47,0,595.85,496.45,-0.16682050851724428,0.0,-0.0,211.025974025974,10027.267218743678
2014-08-22,13.58,0,496.45,516.1,0.03958102527948437,0.0,0.0,211.025974025974,10424.156736012917
2014-08-29,13.73,0,516.1,512.56,-0.006859135826390417,0.0,-0.0,211.025974025974,10352.656029085023
2014-09-05,15.03,0,512.56,483.65,-0.05640315280162311,0.0,-0.0,211.025974025974,9768.733589173895
2014-09-12,-1.37,0,483.65,477.73,-0.012240256383748482,0.0,-0.0,211.025974025974,9649.16178549787
2014-09-19,2.22,0,477.73,397.67,-0.16758420028049315,0.0,-0.0,211.025974025974,8032.114724298114
2014-09-26,-14.77,0,397.67,404.46,0.01707445872205593,0.0,0.0,211.025974025974,8169.25873560896
